       suspend             [동] 일시 중지하다, 보류하다, 정직(정학)시키다
       control               [동] 통제하다, 지배하다 [명] 통제, 지배
   distraction                           [명] 집중을 방해하는 것
      collapse                     [동] 무너지다, (가격이) 폭락하다
     monologue                                   [명] 독백
       martial                             [형] 군대의, 전쟁의
    deliberate                             [형] 고의의, 신중한
       trigger            [동] 작동시키다, 촉발시키다 [명] 방아쇠, 계기
          plot                 [명] 줄거리, 음모 [동] 음모를 꾸미다
           rod                              [명] 막대, 낚싯대
      Atlantic                        [명] 대서양 [형] 대서양의
      industry                                   [명] 산업
         weird                             [형] 이상한, 괴상한
       suggest                           [동] 제안하다, 암시하다
       partial                           [형] 부분적인, 편파적인
     priceless                              [형] 대단히 소중한
        mutual                           [형] 상호 간의, 공동의
          fate                                   [명] 운명
         booth                                [명] 작은 공간
        pursue                                 [동] 추구하다
     prescribe                           [동] 처방하다, 규정하다
         erupt                           [동] (화산이) 폭발하다
        insult                 [동] 모욕하다 [명] 모욕, 모욕적인 말
          gaze                         [동] 응시하다 [명] 응시
       supreme                          [명] 최고 [형] 최고의
   transaction                               [명] 거래, 매매
    sufficient                                  [형] 충분한
        stable                         [형] 안정된 [명] 마구간
      sympathy                               [명] 연민, 동의
    by-product                                  [명] 부산물
        edible                              [형] 먹을 수 있는
       federal                          [형] 연방의, 연방 정부의
           bud                           [명] 싹, 봉오리, 친구
       trivial                                  [형] 사소한
       anxiety                           [명] 걱정, 불안, 열망
        tablet                                   [명] 알약
       prepare                                 [동] 준비하다
         trade                           [명] 무역하다, 교환하다
        liquid                    [명] 액체 [형] 액체의, 유동적의
       contend                            [동] 싸우다, 주장하다
       outlook                           [명] 전망, 경치, 견해
          roam                          [동] 배회하다, 돌아다니다
        decent                      [형] 괜찮은, 예의 바른, 적절한
       concern             [명] 걱정, 관심 [동] 걱정하다, 관심을 갖다
        behalf                             [명] 측, 편, 이익
        suffer                            [동] 고통 받다, 겪다
    distortion                            [명] 왜곡, 찌그러뜨림
      infinite                                  [형] 무한한
    anticipate                           [동] 예상하다, 기대하다
      symbolic                                 [형] 상징적인
     municipal                              [형] 지방 자치제의
    phenomenon                                   [명] 현상
        devote                           [동] (시간, 노력)쏟다
       peasant                                  [명] 소작농
        tenant                                  [명] 세입자
    worthwhile                                 [형] 가치있는
      pavement                                 [명] 포장도로
       dioxide                             [명] (화학)이산화물
      diminish                           [동] 줄이다, 약화시키다
       jealous                           [형] 질투하는, 시기하는
          limp                         [형] 기운이 없는, 축 처진
       exclude                           [동] 제외하다, 차단하다
      flexible                      [형] 융통성 있는, 잘 구부러지는
      nominate                                 [동] 지명하다
        sacred                           [형] 성스러운, 종교적인
       context                                   [명] 맥락
      complete                          [형] 완벽한[동] 완료하다
